corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
veraa	anv	0001	#	#	##	##				
veraa	anv	0001	qōn̄	day	np:other	np		other		
veraa	anv	0001	vō-wal	NUM-one	rn	rn				
veraa	anv	0001	e	PERS.ART	ln	ln				
veraa	anv	0001	ruwa	two.people	np.h:pred	np	h	pred	1001	new
veraa	anv	0001	mē	DAT	rn	rn				
veraa	anv	0001	=n	=ART	=rn	=rn				
veraa	anv	0001	gunu	spouse	rn_np.h	rn_np	h			
veraa	anv	0001	-ruō	-3DL	-rn_pro.h:poss	-rn_pro	h	poss		
veraa	anv	0002	#	#	##	##				
veraa	anv	0002	duru	3DL	pro.h:s	pro	h	s	1001	
veraa	anv	0002	=m	=TAM1	=lv	=lv				
veraa	anv	0002	'ōgo	stay	v:pred	v		pred		
veraa	anv	0002	'ōgo	stay	rv	rv				
veraa	anv	0002	va-van	RED-go	other	other				
veraa	anv	0003	#	#	##	##				
veraa	anv	0003	n	ART	ln	ln				
veraa	anv	0003	ren̄e	woman	np.h:s	np	h	s	1002	bridging
veraa	anv	0003	anē	DEM1.A	rn	rn				
veraa	anv	0003	ne	TAM2:3SG	lv-pro_h_s	lv-pro_h_s				
veraa	anv	0003	wotoqtoqo	pregnant	v:pred	v		pred		
veraa	anv	0003	#	#	##	##				
veraa	anv	0003	ZERO	ZERO	0.h:a	0	h	a	1002	
veraa	anv	0003	ne	TAM2:3SG	lv-pro_h_a	lv-pro_h_a				
veraa	anv	0003	visis	give.birth	v:pred	v		pred		
veraa	anv	0003	ēn	ART	ln	ln				
veraa	anv	0003	ni'i	small	ln	ln				
veraa	anv	0003	ren̄e	woman	np.h:p	np	h	p	1003	new
veraa	anv	0004	#	#	#nc	#nc				
veraa	anv	0004	duru	3DL	nc_pro	nc_pro			1001	
veraa	anv	0004	=m	=TAM1	nc	nc				
veraa	anv	0004	#	#	##	##				
veraa	anv	0004	duru	3DL	pro.h:a	pro	h	a	1001	
veraa	anv	0004	=m	=TAM1	=lv	=lv				
veraa	anv	0004	'ēn	see	v:pred	v		pred		
veraa	anv	0004	gōr	secure	rv	rv				
veraa	anv	0004	ēn	ART	ln	ln				
veraa	anv	0004	ni'i	small	ln	ln				
veraa	anv	0004	ren̄e	woman	np.h:p	np	h	p	1003	
veraa	anv	0004	anē	DEM1.A	rn	rn				
veraa	anv	0004	va-van	RED-go	other	other				
veraa	anv	0005	#	#	##	##				
veraa	anv	0005	ote	mum	np.h:s	np	h	s	1002	
veraa	anv	0005	mu-n	POSS.GEN-CS	rn	rn				
veraa	anv	0005	e	PERS.ART	rn	rn				
veraa	anv	0005	ni'i	small	rn	rn				
veraa	anv	0005	ren̄e	woman	rn_np.h:poss	rn_np	h	poss	1003	
veraa	anv	0005	anē	DEM1.A	rn	rn				
veraa	anv	0005	ne	TAM2:3SG	lv-pro_h_s	lv-pro_h_s				
veraa	anv	0005	ma'	dead	v:pred	v		pred		
veraa	anv	0006	#	#	#nc	#nc				
veraa	anv	0006	e	DISC	nc	nc				
veraa	anv	0006	duru	3DL	nc	nc				
veraa	anv	0006	=k	=TAM2	nc	nc				
veraa	anv	0006	'ēn	see	nc	nc				
veraa	anv	0006	#	#	##	##				
veraa	anv	0006	e	DISC	other	other				
veraa	anv	0006	=n	=ART	=ln	=ln				
veraa	anv	0006	'ama	father	np.h:a	np	h	a	1004	bridging
veraa	anv	0006	-gi	-3SG	-rn_pro.h:poss	-rn_pro	h	poss	1003	
veraa	anv	0006	ne	TAM2:3SG	lv-pro_h_a	lv-pro_h_a				
veraa	anv	0006	'ēn	see	v:pred	v		pred		
veraa	anv	0006	gōr	secure	rv	rv				
veraa	anv	0006	ēn	ART	ln	ln				
veraa	anv	0006	ni'i	small	ln	ln				
veraa	anv	0006	ren̄e	woman	np.h:p	np	h	p	1003	
veraa	anv	0006	anē	DEM1.A	rn	rn				
veraa	anv	0006	va-van	RED-go	other	other				
veraa	anv	0007	#	#	##	##				
veraa	anv	0007	e	DISC	other	other				
veraa	anv	0007	=n	=ART	=ln	=ln				
veraa	anv	0007	'ama	father	np.h:s	np	h	s	1004	
veraa	anv	0007	-gi	-3SG	-rn_pro.h:poss	-rn_pro	h	poss	1003	
