ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,isnref,refind,refindFK
anv_0001,mcveraa,qōn̄ vōwal e ruwa mēn gunuruō,#	qōn̄	vō-wal	e	ruwa	mē	=n	gunu	-ruō,#	day	NUM-one	PERS.ART	two.people	DAT	=ART	spouse	-3DL,"One day, there was a married couple.",en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,0,4396,##	np:other	rn	ln	np.h:pred	rn	=rn	rn_np.h	-rn_pro.h:poss,,anv,∅	∅	∅	∅	new	∅	∅	∅	∅,∅	∅	∅	∅	1001	∅	∅	∅	∅,∅	∅	∅	∅	1001	∅	∅	∅	∅
anv_0002,mcveraa,durum 'ogo 'ogo vaavan,#	duru	=m	'ōgo	'ōgo	va-van,#	3DL	=TAM1	stay	stay	RED-go,"The two lived on and on, and then",en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,4396,6549,##	pro.h:s	=lv	v:pred	rv	other,,anv,∅	∅	∅	∅	∅	∅,∅	1001	∅	∅	∅	∅,∅	1001	∅	∅	∅	∅
anv_0003,mcveraa,n ren̄e 'anē ne wotoqtoqo ne visis ēn ni'i ren̄e,#	n	ren̄e	anē	ne	wotoqtoqo	#	ZERO	ne	visis	ēn	ni'i	ren̄e,#	ART	woman	DEM1.A	TAM2:3SG	pregnant	#	ZERO	TAM2:3SG	give.birth	ART	small	woman,the woman got pregnant and gave birth to a little girl.,en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,6549,11086,##	ln	np.h:s	rn	lv-pro_h_s	v:pred	##	0.h:a	lv-pro_h_a	v:pred	ln	ln	np.h:p,,anv,∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	new,∅	∅	1002	∅	∅	∅	∅	1002	∅	∅	∅	∅	1003,∅	∅	1002	∅	∅	∅	∅	1002	∅	∅	∅	∅	1003
anv_0004,mcveraa,durum ... durum 'ēn gōr ēn ni'i ren̄e 'anē vaavan,#	duru	=m	#	duru	=m	'ēn	gōr	ēn	ni'i	ren̄e	anē	va-van,#	3DL	=TAM1	#	3DL	=TAM1	see	secure	ART	small	woman	DEM1.A	RED-go,"The two looked after the little girl, and then",en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,11086,15242,#nc	nc_pro	nc	##	pro.h:a	=lv	v:pred	rv	ln	ln	np.h:p	rn	other,,anv,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	1001	∅	∅	1001	∅	∅	∅	∅	∅	1003	∅	∅,∅	1001	∅	∅	1001	∅	∅	∅	∅	∅	1003	∅	∅
anv_0005,mcveraa,ote mun e ni'i ren̄e 'anē ne ma',#	ote	mu-n	e	ni'i	ren̄e	anē	ne	ma',#	mum	POSS.GEN-CS	PERS.ART	small	woman	DEM1.A	TAM2:3SG	dead,the mum of the little girl died.,en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,15242,17689,##	np.h:s	rn	rn	rn	rn_np.h:poss	rn	lv-pro_h_s	v:pred,,anv,∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	1002	∅	∅	∅	1003	∅	∅	∅,∅	1002	∅	∅	∅	1003	∅	∅	∅
anv_0006,mcveraa,e duruk 'ēn ... en 'amagi ne 'ēn gōr ēn ni'i ren̄e 'anē vaavan,#	e	duru	=k	'ēn	#	e	=n	'ama	-gi	ne	'ēn	gōr	ēn	ni'i	ren̄e	anē	va-van,#	DISC	3DL	=TAM2	see	#	DISC	=ART	father	-3SG	TAM2:3SG	see	secure	ART	small	woman	DEM1.A	RED-go,"Her father looked after this little girl, and then",en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,17689,22631,#nc	nc	nc	nc	nc	##	other	=ln	np.h:a	-rn_pro.h:poss	lv-pro_h_a	v:pred	rv	ln	ln	np.h:p	rn	other,,anv,∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	1004	1003	∅	∅	∅	∅	∅	1003	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	1004	1003	∅	∅	∅	∅	∅	1003	∅	∅
anv_0007,mcveraa,'en 'amagi 'anē ne ma',#	e	=n	'ama	-gi	anē	ne	ma',#	DISC	=ART	father	-3SG	DEM1.A	TAM2:3SG	dead,her father died.,en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,22631,25175,##	other	=ln	np.h:s	-rn_pro.h:poss	rn	lv-pro_h_s	v:pred,,anv,∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	1004	1003	∅	∅	∅,∅	∅	∅	1004	1003	∅	∅	∅
anv_0008,mcveraa,'en ni'i ren̄e 'anē ne 'og'og birin̄ ēn marugi,#	e	=n	ni'i	ren̄e	anē	ne	'ōg'ōg	birin̄	ēn	maru	-gi,#	DISC	=ART	small	woman	DEM1.A	TAM2:3SG	RED:stay	with	ART	uncle	-3SG,"So then the little girl stayed with an uncle of hers,",en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,25175,28485,##	other	=ln	ln	np.h:s	rn	lv-pro_h_s	v:pred	adp	ln	np.h:obl	-rn_pro.h:poss,,anv,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅,∅	∅	∅	∅	1003	∅	∅	∅	∅	∅	1005	1003,∅	∅	∅	∅	1003	∅	∅	∅	∅	∅	1005	1003
anv_0009,mcveraa,'og 'og 'og vaavan,#	ZERO	'ōg	'ōg	'ōg	va-van,#	ZERO	stay	stay	stay	RED-go,living like this on and on.,en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,28485,30952,##	0.h:s	v:pred	nc	nc	other,,anv,∅	∅	∅	∅	∅	∅,∅	1003	∅	∅	∅	∅,∅	1003	∅	∅	∅	∅
anv_0010,mcveraa,'en ... n ... dim wotoqtoqo,#	e	=n	n	#	di	=m	wotoqtoqo,#	DISC	=ART	ART	#	3SG	=TAM1	pregnant,Then she got pregnant.,en,MORPHEME_ALIGNED,,anv_mp3 anv_wav anv_eaf anv_xml anv_tsv,,30952,35168,#nc	nc	nc	nc	##	pro.h:s	=lv	v:pred,,anv,∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	1003	∅	∅,∅	∅	∅	∅	∅	1003	∅	∅
